Category,Resume
Web Designing,"Experienced professional with a proven track record in Web Designing. B.Tech in Information Technology. Worked on various projects involving Responsive Design and Web Development. Implemented solutions that improved efficiency by 20%. Skills: Responsive Design, Web Development, Bootstrap, Adobe XD, JavaScript, React, HTML, UI/UX. "
Python Developer,"Passionate about Python Developer and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Docker and FastAPI. Implemented solutions that improved efficiency by 20%. Skills: Docker, FastAPI, PostgreSQL, Redis, Unit Testing, Python, Linux. "
Data Science,"Experienced professional with a proven track record in Data Science. MBA in Human Resources. Worked on various projects involving TensorFlow and Keras. Implemented solutions that improved efficiency by 20%. Skills: TensorFlow, Keras, NumPy, Tableau, Statistics, Pandas, SQL, Scikit-learn. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. B.S. in relevant field. Worked on various projects involving Jira and Excel. Implemented solutions that improved efficiency by 20%. Skills: Jira, Excel, UML, Agile, SQL, Communication, PowerBI. "
HR,"Dedicated HR specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Human Resources and Employee Relations. Implemented solutions that improved efficiency by 20%. Skills: Human Resources, Employee Relations, Talent Acquisition, Interviewing, Communication. "
Data Science,"Passionate about Data Science and building scalable solutions. B.S. in relevant field. Worked on various projects involving Pandas and Statistics. Implemented solutions that improved efficiency by 20%. Skills: Pandas, Statistics, TensorFlow, Data Analysis, Python, Machine Learning. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Git and Redis. Implemented solutions that improved efficiency by 20%. Skills: Git, Redis, REST API, Flask, Python. "
Java Developer,"Passionate about Java Developer and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Microservices and Junit. Implemented solutions that improved efficiency by 20%. Skills: Microservices, Junit, Spring Boot, Tomcat, SQL, Hibernate, Maven, Agile. "
Python Developer,"Passionate about Python Developer and building scalable solutions. Master's degree in Engineering. Worked on various projects involving FastAPI and AWS. Implemented solutions that improved efficiency by 20%. Skills: FastAPI, AWS, Git, Redis, Python, Unit Testing, Linux. "
HR,"Experienced professional with a proven track record in HR. Bachelor's degree in Computer Science. Worked on various projects involving Payroll and HR Policies. Implemented solutions that improved efficiency by 20%. Skills: Payroll, HR Policies, Recruitment, Communication, Sourcing, Onboarding, Human Resources. "
Mechanical Engineer,"Highly skilled Mechanical Engineer with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Design and Mechanical Engineering. Implemented solutions that improved efficiency by 20%. Skills: Design, Mechanical Engineering, Engineering, AutoCAD, CAD, Project Management, Manufacturing. "
Testing,"Passionate about Testing and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Postman and API Testing. Implemented solutions that improved efficiency by 20%. Skills: Postman, API Testing, Agile, Manual Testing, Java, Automation Testing, TestNG, Selenium. "
Java Developer,"Dedicated Java Developer specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving REST API and Junit. Implemented solutions that improved efficiency by 20%. Skills: REST API, Junit, J2EE, Git, Tomcat. "
DevOps,"Passionate about DevOps and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Git and Terraform. Implemented solutions that improved efficiency by 20%. Skills: Git, Terraform, Kubernetes, CI/CD, Ansible, Monitoring, Bash, Jenkins. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Data Analysis and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Scikit-learn, Keras, Python, NumPy, Statistics, Pandas. "
Python Developer,"Experienced professional with a proven track record in Python Developer. Bachelor's degree in Computer Science. Worked on various projects involving FastAPI and AWS. Implemented solutions that improved efficiency by 20%. Skills: FastAPI, AWS, Linux, Redis, Django. "
Business Analyst,"Experienced professional with a proven track record in Business Analyst. B.S. in relevant field. Worked on various projects involving Data Analysis and Jira. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Jira, PowerBI, Communication, Business Analysis, Agile. "
Testing,"Highly skilled Testing with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Jira and Cucumber. Implemented solutions that improved efficiency by 20%. Skills: Jira, Cucumber, Selenium, TestNG, Agile, API Testing, Automation Testing. "
Testing,"Results-oriented Testing looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Jira and API Testing. Implemented solutions that improved efficiency by 20%. Skills: Jira, API Testing, Automation Testing, Bug Tracking, Agile. "
Java Developer,"Highly skilled Java Developer with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving SQL and Hibernate. Implemented solutions that improved efficiency by 20%. Skills: SQL, Hibernate, Maven, Microservices, REST API, J2EE, Git, Java. "
Web Designing,"Highly skilled Web Designing with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving UI/UX and Figma. Implemented solutions that improved efficiency by 20%. Skills: UI/UX, Figma, Angular, Web Development, Adobe XD, CSS, JavaScript. "
Java Developer,"Passionate about Java Developer and building scalable solutions. MBA in Human Resources. Worked on various projects involving Maven and Agile. Implemented solutions that improved efficiency by 20%. Skills: Maven, Agile, Git, Java, J2EE, Microservices. "
Java Developer,"Dedicated Java Developer specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving SQL and Hibernate. Implemented solutions that improved efficiency by 20%. Skills: SQL, Hibernate, Junit, REST API, J2EE, Java, Spring Boot. "
Mechanical Engineer,"Highly skilled Mechanical Engineer with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving CAD and Design. Implemented solutions that improved efficiency by 20%. Skills: CAD, Design, Manufacturing, Product Design, AutoCAD, Project Management, ANSYS. "
Java Developer,"Passionate about Java Developer and building scalable solutions. MBA in Human Resources. Worked on various projects involving SQL and Hibernate. Implemented solutions that improved efficiency by 20%. Skills: SQL, Hibernate, Git, Java, Tomcat, REST API, Agile, J2EE. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving Python and PostgreSQL. Implemented solutions that improved efficiency by 20%. Skills: Python, PostgreSQL, Linux, Unit Testing, Docker. "
HR,"Passionate about HR and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving HR Policies and Payroll. Implemented solutions that improved efficiency by 20%. Skills: HR Policies, Payroll, Human Resources, Talent Acquisition, Interviewing, Communication. "
Testing,"Highly skilled Testing with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Selenium and Cucumber. Implemented solutions that improved efficiency by 20%. Skills: Selenium, Cucumber, Java, Bug Tracking, Jira, Postman. "
HR,"Dedicated HR specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Onboarding and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Onboarding, Recruitment, Human Resources, Communication, Payroll, Interviewing, Talent Acquisition, HR Policies. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Docker and Git. Implemented solutions that improved efficiency by 20%. Skills: Docker, Git, AWS, Unit Testing, PostgreSQL. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving Python and Deep Learning. Implemented solutions that improved efficiency by 20%. Skills: Python, Deep Learning, Text Classification, BERT, NLTK. "
Data Science,"Dedicated Data Science specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Python and Data Science. Implemented solutions that improved efficiency by 20%. Skills: Python, Data Science, TensorFlow, Data Analysis, Keras, Tableau, NumPy, Statistics. "
HR,"Experienced professional with a proven track record in HR. Bachelor's degree in Computer Science. Worked on various projects involving Onboarding and Human Resources. Implemented solutions that improved efficiency by 20%. Skills: Onboarding, Human Resources, Interviewing, Payroll, Communication, Talent Acquisition, Sourcing. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. Bachelor's degree in Computer Science. Worked on various projects involving Transformers and spaCy. Implemented solutions that improved efficiency by 20%. Skills: Transformers, spaCy, Text Classification, Deep Learning, Word2Vec, PyTorch, LLMs. "
Web Designing,"Passionate about Web Designing and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Angular and Figma. Implemented solutions that improved efficiency by 20%. Skills: Angular, Figma, Web Development, Adobe XD, HTML. "
Testing,"Passionate about Testing and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Cucumber and Postman. Implemented solutions that improved efficiency by 20%. Skills: Cucumber, Postman, Selenium, Bug Tracking, Python. "
Java Developer,"Dedicated Java Developer specialist with strong background. Master's degree in Engineering. Worked on various projects involving Maven and Hibernate. Implemented solutions that improved efficiency by 20%. Skills: Maven, Hibernate, Spring Boot, Java, Tomcat, REST API, Agile. "
Data Science,"Passionate about Data Science and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Machine Learning and SQL. Implemented solutions that improved efficiency by 20%. Skills: Machine Learning, SQL, Tableau, Python, Keras. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Transformers and Python. Implemented solutions that improved efficiency by 20%. Skills: Transformers, Python, Natural Language Processing, BERT, NLP, PyTorch, NLTK, Word2Vec. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving UML and PowerBI. Implemented solutions that improved efficiency by 20%. Skills: UML, PowerBI, Communication, Stakeholder Management, Data Analysis, Agile, Scrum, SQL. "
Java Developer,"Dedicated Java Developer specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving REST API and Git. Implemented solutions that improved efficiency by 20%. Skills: REST API, Git, Hibernate, Microservices, SQL, Java, Junit, J2EE. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Deep Learning and NLTK. Implemented solutions that improved efficiency by 20%. Skills: Deep Learning, NLTK, Natural Language Processing, spaCy, NLP, Python. "
Mechanical Engineer,"Results-oriented Mechanical Engineer looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving AutoCAD and Manufacturing. Implemented solutions that improved efficiency by 20%. Skills: AutoCAD, Manufacturing, ANSYS, Matlab, Mechanical Engineering, Project Management, SolidWorks. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving Communication and Stakeholder Management. Implemented solutions that improved efficiency by 20%. Skills: Communication, Stakeholder Management, Jira, SQL, Business Analysis, Requirement Gathering, PowerBI, Excel. "
Python Developer,"Experienced professional with a proven track record in Python Developer. Master's degree in Engineering. Worked on various projects involving Docker and Unit Testing. Implemented solutions that improved efficiency by 20%. Skills: Docker, Unit Testing, Linux, Django, Python. "
DevOps,"Highly skilled DevOps with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Jenkins and Ansible. Implemented solutions that improved efficiency by 20%. Skills: Jenkins, Ansible, Terraform, Linux, Prometheus, Docker. "
Python Developer,"Experienced professional with a proven track record in Python Developer. MBA in Human Resources. Worked on various projects involving Django and AWS. Implemented solutions that improved efficiency by 20%. Skills: Django, AWS, Linux, Git, Docker, PostgreSQL, Flask, REST API. "
DevOps,"Experienced professional with a proven track record in DevOps. Bachelor's degree in Computer Science. Worked on various projects involving Linux and Ansible. Implemented solutions that improved efficiency by 20%. Skills: Linux, Ansible, Bash, Jenkins, Terraform, Git, CI/CD, Monitoring. "
Web Designing,"Results-oriented Web Designing looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Figma and JavaScript. Implemented solutions that improved efficiency by 20%. Skills: Figma, JavaScript, CSS, UI/UX, Web Development, Responsive Design. "
Java Developer,"Results-oriented Java Developer looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving SQL and Junit. Implemented solutions that improved efficiency by 20%. Skills: SQL, Junit, Agile, Microservices, Tomcat. "
DevOps,"Dedicated DevOps specialist with strong background. B.S. in relevant field. Worked on various projects involving Git and CI/CD. Implemented solutions that improved efficiency by 20%. Skills: Git, CI/CD, Terraform, Monitoring, Prometheus, Jenkins, Kubernetes, AWS. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving REST API and Redis. Implemented solutions that improved efficiency by 20%. Skills: REST API, Redis, Django, Linux, Flask, AWS. "
Python Developer,"Experienced professional with a proven track record in Python Developer. B.S. in relevant field. Worked on various projects involving FastAPI and Django. Implemented solutions that improved efficiency by 20%. Skills: FastAPI, Django, Linux, Docker, Unit Testing, REST API, PostgreSQL, Redis. "
Web Designing,"Results-oriented Web Designing looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Angular and JavaScript. Implemented solutions that improved efficiency by 20%. Skills: Angular, JavaScript, Responsive Design, UI/UX, Bootstrap, CSS, Figma, HTML. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving UML and Communication. Implemented solutions that improved efficiency by 20%. Skills: UML, Communication, Excel, Scrum, Business Analysis, Stakeholder Management, Agile. "
Python Developer,"Highly skilled Python Developer with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Docker and Linux. Implemented solutions that improved efficiency by 20%. Skills: Docker, Linux, FastAPI, REST API, Python, AWS. "
Mechanical Engineer,"Highly skilled Mechanical Engineer with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving SolidWorks and Engineering. Implemented solutions that improved efficiency by 20%. Skills: SolidWorks, Engineering, Manufacturing, Matlab, Project Management, Product Design, ANSYS, Mechanical Engineering. "
Java Developer,"Dedicated Java Developer specialist with strong background. B.S. in relevant field. Worked on various projects involving Git and Java. Implemented solutions that improved efficiency by 20%. Skills: Git, Java, Spring Boot, Tomcat, J2EE. "
HR,"Highly skilled HR with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Talent Acquisition and Sourcing. Implemented solutions that improved efficiency by 20%. Skills: Talent Acquisition, Sourcing, Onboarding, Employee Relations, Recruitment, HR Policies. "
Python Developer,"Experienced professional with a proven track record in Python Developer. Master's degree in Engineering. Worked on various projects involving AWS and Docker. Implemented solutions that improved efficiency by 20%. Skills: AWS, Docker, Linux, PostgreSQL, Django. "
Data Science,"Passionate about Data Science and building scalable solutions. Master's degree in Engineering. Worked on various projects involving TensorFlow and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: TensorFlow, Scikit-learn, SQL, Machine Learning, Tableau. "
Web Designing,"Highly skilled Web Designing with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Adobe XD and Web Development. Implemented solutions that improved efficiency by 20%. Skills: Adobe XD, Web Development, JavaScript, Angular, Figma, Bootstrap, Responsive Design. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving FastAPI and Django. Implemented solutions that improved efficiency by 20%. Skills: FastAPI, Django, Redis, REST API, Flask, Git, Linux, Docker. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving SQL and Excel. Implemented solutions that improved efficiency by 20%. Skills: SQL, Excel, PowerBI, Data Analysis, Stakeholder Management, Requirement Gathering. "
DevOps,"Experienced professional with a proven track record in DevOps. B.S. in relevant field. Worked on various projects involving Bash and Prometheus. Implemented solutions that improved efficiency by 20%. Skills: Bash, Prometheus, Kubernetes, Terraform, Docker. "
DevOps,"Highly skilled DevOps with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving Monitoring and AWS. Implemented solutions that improved efficiency by 20%. Skills: Monitoring, AWS, Kubernetes, Prometheus, Git, CI/CD. "
HR,"Passionate about HR and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Sourcing and Human Resources. Implemented solutions that improved efficiency by 20%. Skills: Sourcing, Human Resources, Interviewing, Recruitment, Onboarding. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. B.S. in relevant field. Worked on various projects involving PowerBI and Data Analysis. Implemented solutions that improved efficiency by 20%. Skills: PowerBI, Data Analysis, Stakeholder Management, Communication, UML. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. B.S. in relevant field. Worked on various projects involving LLMs and Natural Language Processing. Implemented solutions that improved efficiency by 20%. Skills: LLMs, Natural Language Processing, NLP, Python, Word2Vec. "
Mechanical Engineer,"Experienced professional with a proven track record in Mechanical Engineer. B.S. in relevant field. Worked on various projects involving AutoCAD and Product Design. Implemented solutions that improved efficiency by 20%. Skills: AutoCAD, Product Design, SolidWorks, ANSYS, Matlab, Engineering, Mechanical Engineering, Design. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Scrum and UML. Implemented solutions that improved efficiency by 20%. Skills: Scrum, UML, Data Analysis, SQL, Business Analysis, Agile, Jira, PowerBI. "
Data Science,"Highly skilled Data Science with over 5 years of experience. B.S. in relevant field. Worked on various projects involving SQL and Statistics. Implemented solutions that improved efficiency by 20%. Skills: SQL, Statistics, TensorFlow, Scikit-learn, Python. "
NLP Engineer,"Passionate about NLP Engineer and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Python and Word2Vec. Implemented solutions that improved efficiency by 20%. Skills: Python, Word2Vec, Text Classification, PyTorch, Transformers, BERT, NLP, spaCy. "
Web Designing,"Passionate about Web Designing and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving HTML and Responsive Design. Implemented solutions that improved efficiency by 20%. Skills: HTML, Responsive Design, UI/UX, Web Development, Figma, Angular, Adobe XD. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Product Design and Project Management. Implemented solutions that improved efficiency by 20%. Skills: Product Design, Project Management, Design, SolidWorks, Mechanical Engineering, CAD. "
Testing,"Highly skilled Testing with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Selenium and TestNG. Implemented solutions that improved efficiency by 20%. Skills: Selenium, TestNG, Automation Testing, Manual Testing, Agile. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. Master's degree in Engineering. Worked on various projects involving AutoCAD and ANSYS. Implemented solutions that improved efficiency by 20%. Skills: AutoCAD, ANSYS, Mechanical Engineering, CAD, Matlab. "
DevOps,"Dedicated DevOps specialist with strong background. Master's degree in Engineering. Worked on various projects involving Ansible and CI/CD. Implemented solutions that improved efficiency by 20%. Skills: Ansible, CI/CD, Docker, Bash, Linux, Git, AWS. "
Java Developer,"Dedicated Java Developer specialist with strong background. MBA in Human Resources. Worked on various projects involving Java and REST API. Implemented solutions that improved efficiency by 20%. Skills: Java, REST API, Spring Boot, Microservices, Git. "
HR,"Experienced professional with a proven track record in HR. B.Tech in Information Technology. Worked on various projects involving Sourcing and Onboarding. Implemented solutions that improved efficiency by 20%. Skills: Sourcing, Onboarding, Human Resources, HR Policies, Payroll. "
Web Designing,"Dedicated Web Designing specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving UI/UX and Angular. Implemented solutions that improved efficiency by 20%. Skills: UI/UX, Angular, Figma, HTML, Web Development, Responsive Design, React, Bootstrap. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Communication and Scrum. Implemented solutions that improved efficiency by 20%. Skills: Communication, Scrum, Requirement Gathering, Agile, Stakeholder Management, UML. "
Java Developer,"Results-oriented Java Developer looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Spring Boot and SQL. Implemented solutions that improved efficiency by 20%. Skills: Spring Boot, SQL, Junit, REST API, Maven, Tomcat. "
DevOps,"Results-oriented DevOps looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving Git and Prometheus. Implemented solutions that improved efficiency by 20%. Skills: Git, Prometheus, AWS, Kubernetes, Linux, Monitoring, CI/CD, Terraform. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. MBA in Human Resources. Worked on various projects involving LLMs and spaCy. Implemented solutions that improved efficiency by 20%. Skills: LLMs, spaCy, PyTorch, Word2Vec, NLP, Python, Deep Learning. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Data Analysis and Scrum. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Scrum, Agile, PowerBI, UML, Excel, Requirement Gathering. "
Data Science,"Passionate about Data Science and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Pandas and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: Pandas, Scikit-learn, Data Science, Data Analysis, Statistics. "
Testing,"Dedicated Testing specialist with strong background. MBA in Human Resources. Worked on various projects involving Agile and Java. Implemented solutions that improved efficiency by 20%. Skills: Agile, Java, Jira, Cucumber, TestNG, Python, Selenium. "
Testing,"Highly skilled Testing with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving Cucumber and API Testing. Implemented solutions that improved efficiency by 20%. Skills: Cucumber, API Testing, Python, Java, Jira, Automation Testing. "
Business Analyst,"Experienced professional with a proven track record in Business Analyst. B.S. in relevant field. Worked on various projects involving Data Analysis and Requirement Gathering. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Requirement Gathering, Jira, Excel, Scrum, Agile, UML, Stakeholder Management. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving SQL and UML. Implemented solutions that improved efficiency by 20%. Skills: SQL, UML, Excel, Communication, Business Analysis, Requirement Gathering, Scrum, Stakeholder Management. "
DevOps,"Passionate about DevOps and building scalable solutions. MBA in Human Resources. Worked on various projects involving Ansible and Prometheus. Implemented solutions that improved efficiency by 20%. Skills: Ansible, Prometheus, Git, Terraform, Jenkins, Monitoring, CI/CD. "
Web Designing,"Experienced professional with a proven track record in Web Designing. B.S. in relevant field. Worked on various projects involving CSS and Adobe XD. Implemented solutions that improved efficiency by 20%. Skills: CSS, Adobe XD, HTML, Web Development, UI/UX, Responsive Design, Angular, Figma. "
Web Designing,"Passionate about Web Designing and building scalable solutions. B.S. in relevant field. Worked on various projects involving Adobe XD and Web Development. Implemented solutions that improved efficiency by 20%. Skills: Adobe XD, Web Development, Responsive Design, UI/UX, JavaScript. "
NLP Engineer,"Dedicated NLP Engineer specialist with strong background. MBA in Human Resources. Worked on various projects involving Deep Learning and Python. Implemented solutions that improved efficiency by 20%. Skills: Deep Learning, Python, NLP, Text Classification, Word2Vec. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Git and Linux. Implemented solutions that improved efficiency by 20%. Skills: Git, Linux, Python, Unit Testing, Docker. "
HR,"Experienced professional with a proven track record in HR. Master's degree in Engineering. Worked on various projects involving Sourcing and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Sourcing, Recruitment, Onboarding, Payroll, Communication, Talent Acquisition. "
Testing,"Highly skilled Testing with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Selenium and Bug Tracking. Implemented solutions that improved efficiency by 20%. Skills: Selenium, Bug Tracking, Automation Testing, Postman, API Testing, Manual Testing, Cucumber, Agile. "
Data Science,"Dedicated Data Science specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Data Science and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: Data Science, Scikit-learn, Statistics, Machine Learning, Tableau, TensorFlow, Python. "
HR,"Results-oriented HR looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Sourcing and Talent Acquisition. Implemented solutions that improved efficiency by 20%. Skills: Sourcing, Talent Acquisition, Recruitment, Human Resources, Communication, Employee Relations, Onboarding, Interviewing. "
Web Designing,"Passionate about Web Designing and building scalable solutions. MBA in Human Resources. Worked on various projects involving UI/UX and JavaScript. Implemented solutions that improved efficiency by 20%. Skills: UI/UX, JavaScript, Bootstrap, HTML, Responsive Design. "
Testing,"Experienced professional with a proven track record in Testing. B.S. in relevant field. Worked on various projects involving TestNG and Automation Testing. Implemented solutions that improved efficiency by 20%. Skills: TestNG, Automation Testing, Python, Manual Testing, Jira. "
HR,"Experienced professional with a proven track record in HR. Master's degree in Engineering. Worked on various projects involving Sourcing and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Sourcing, Recruitment, Human Resources, Employee Relations, Interviewing, HR Policies, Communication. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving NumPy and Data Science. Implemented solutions that improved efficiency by 20%. Skills: NumPy, Data Science, TensorFlow, Scikit-learn, Keras, Pandas, Machine Learning, Python. "
Python Developer,"Highly skilled Python Developer with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Docker and Git. Implemented solutions that improved efficiency by 20%. Skills: Docker, Git, Python, PostgreSQL, AWS, Django. "
Data Science,"Experienced professional with a proven track record in Data Science. B.S. in relevant field. Worked on various projects involving Tableau and Statistics. Implemented solutions that improved efficiency by 20%. Skills: Tableau, Statistics, Scikit-learn, Keras, TensorFlow, Machine Learning, Data Analysis, SQL. "
HR,"Highly skilled HR with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Sourcing and Payroll. Implemented solutions that improved efficiency by 20%. Skills: Sourcing, Payroll, Interviewing, Recruitment, Communication, Human Resources, Onboarding. "
Java Developer,"Results-oriented Java Developer looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving J2EE and SQL. Implemented solutions that improved efficiency by 20%. Skills: J2EE, SQL, REST API, Microservices, Tomcat, Maven, Agile. "
